iter	Passed	Remaining
0	0	803
1	1	705
2	1	661
3	2	639
4	3	625
5	3	614
6	4	598
7	4	599
8	5	588
9	5	587
10	6	584
11	7	583
12	7	583
13	8	581
14	8	577
15	9	575
16	9	572
17	10	575
18	11	573
19	11	575
20	12	582
21	13	582
22	13	582
23	14	582
24	14	580
25	15	580
26	16	577
27	16	575
28	17	573
29	17	572
30	18	569
31	18	568
32	19	567
33	19	565
34	20	564
35	20	561
36	21	559
37	22	558
38	22	562
39	23	561
40	23	560
41	24	559
42	25	560
43	25	559
44	26	557
45	26	559
46	27	561
47	28	562
48	29	564
49	29	565
50	30	564
51	30	565
52	31	564
53	32	563
54	32	563
55	33	563
56	34	562
57	34	562
58	35	562
59	35	560
60	36	559
61	36	558
62	37	557
63	38	565
64	39	564
65	39	564
66	40	562
67	41	564
68	41	564
69	42	562
70	42	562
71	43	561
72	44	562
73	44	560
74	45	561
75	46	560
76	46	558
77	47	558
78	47	556
79	48	555
80	48	554
81	49	553
82	49	549
83	50	548
84	50	548
85	51	547
86	52	547
87	52	548
88	53	547
89	54	546
90	54	546
91	55	545
92	55	545
93	56	544
94	57	543
95	57	541
96	58	540
97	58	539
98	59	539
99	59	538
100	60	537
101	60	536
102	61	535
103	61	533
104	62	533
105	63	533
106	63	531
107	64	530
108	64	529
109	65	528
110	65	528
111	66	527
112	67	527
113	67	526
114	68	526
115	69	526
116	69	524
117	70	524
118	70	523
119	71	523
120	71	522
121	72	521
122	72	520
123	73	519
124	74	518
125	74	518
126	75	517
127	75	517
128	76	516
129	77	516
130	77	515
131	78	514
132	78	513
133	79	512
134	79	511
135	80	511
136	81	511
137	81	510
138	82	511
139	83	510
140	83	510
141	84	508
142	84	508
143	85	508
144	86	507
145	86	506
146	87	506
147	87	505
148	88	504
149	88	503
150	89	502
151	90	502
152	90	501
153	91	500
154	91	500
155	92	499
156	92	499
157	93	498
158	94	498
159	94	497
160	95	496
161	95	495
162	96	495
163	96	494
164	97	493
165	98	493
166	98	492
167	99	491
168	99	490
169	100	490
170	100	489
171	101	488
172	102	488
173	102	488
174	103	488
175	104	488
176	104	487
177	105	486
178	106	486
179	106	485
180	107	484
181	107	484
182	108	484
183	109	484
184	110	485
185	110	485
186	111	484
187	112	483
188	112	483
189	113	482
190	113	481
191	114	480
192	114	479
193	115	479
194	115	478
195	116	477
196	116	476
197	117	475
198	117	474
199	118	473
200	119	473
201	119	472
202	120	471
203	120	470
204	121	469
205	121	468
206	122	467
207	122	466
208	123	466
209	123	465
210	124	464
211	124	464
212	125	463
213	125	462
214	126	462
215	127	461
216	127	460
217	128	459
218	128	458
219	129	457
220	129	457
221	130	456
222	130	455
223	131	454
224	131	454
225	132	453
226	132	452
227	133	451
228	133	451
229	134	450
230	134	449
231	135	448
232	135	447
233	136	446
234	137	446
235	137	446
236	138	445
237	138	444
238	139	443
239	139	443
240	140	442
241	141	442
242	141	441
243	142	441
244	142	440
245	143	439
246	144	439
247	144	439
248	145	439
249	146	438
250	146	437
251	147	437
252	147	436
253	148	435
254	149	435
255	149	435
256	150	434
257	150	434
258	151	433
259	152	433
260	152	433
261	153	432
262	153	431
263	154	430
264	155	430
265	155	429
266	156	428
267	156	428
268	157	427
269	157	427
270	158	426
271	159	425
272	159	425
273	160	425
274	161	424
275	161	424
276	162	423
277	162	423
278	163	422
279	164	421
280	164	421
281	165	420
282	165	419
283	166	418
284	166	418
285	167	418
286	167	417
287	168	416
288	169	415
289	169	415
290	170	415
291	170	414
292	171	413
293	172	413
294	172	412
295	173	411
296	173	411
297	174	410
298	174	409
299	175	409
300	175	408
301	176	407
302	176	406
303	177	405
304	177	405
305	178	404
306	179	404
307	179	403
308	180	402
309	180	402
310	181	401
311	181	400
312	182	400
313	182	399
314	183	398
315	183	397
316	184	397
317	184	396
318	185	395
319	185	395
320	186	394
321	187	394
322	187	393
323	188	392
324	188	391
325	189	391
326	189	390
327	190	390
328	190	389
329	191	389
330	192	388
331	192	387
332	193	387
333	194	386
334	194	386
335	195	385
336	195	384
337	196	384
338	196	383
339	197	383
340	197	382
341	198	381
342	198	380
343	199	380
344	199	379
345	200	379
346	201	378
347	201	377
348	202	377
349	202	376
350	203	375
351	203	375
352	204	374
353	205	374
354	205	373
355	206	373
356	207	372
357	207	372
358	208	371
359	208	371
360	209	370
361	209	369
362	210	369
363	211	368
364	211	368
365	212	367
366	212	367
367	213	366
368	214	366
369	214	365
370	215	364
371	215	364
372	216	363
373	216	363
374	217	362
375	217	361
376	218	361
377	219	360
378	219	360
379	220	359
380	220	358
381	221	358
382	221	357
383	222	356
384	222	356
385	223	355
386	223	354
387	224	354
388	224	353
389	225	352
390	225	351
391	226	351
392	227	350
393	227	350
394	228	349
395	228	348
396	229	347
397	229	347
398	230	346
399	230	346
400	231	345
401	231	344
402	232	344
403	232	343
404	233	342
405	234	342
406	234	341
407	235	341
408	235	340
409	235	339
410	236	338
411	237	338
412	237	337
413	238	337
414	238	336
415	239	335
416	239	335
417	240	334
418	240	333
419	241	333
420	241	332
421	242	332
422	242	331
423	243	330
424	243	330
425	244	329
426	245	328
427	245	328
428	246	327
429	246	326
430	247	326
431	247	325
432	248	325
433	248	324
434	249	323
435	249	323
436	250	322
437	250	321
438	251	321
439	251	320
440	252	320
441	253	319
442	253	318
443	254	318
444	254	317
445	255	317
446	255	316
447	256	315
448	256	315
449	257	314
450	258	314
451	258	313
452	259	313
453	259	312
454	260	312
455	261	311
456	261	311
457	262	310
458	263	310
459	263	309
460	264	309
461	264	308
462	265	307
463	265	307
464	266	306
465	267	306
466	267	305
467	268	305
468	269	304
469	269	304
470	270	303
471	271	303
472	271	302
473	272	302
474	273	301
475	273	301
476	274	300
477	274	300
478	275	299
479	276	299
480	277	298
481	277	298
482	278	297
483	278	297
484	279	296
485	280	296
486	280	295
487	281	295
488	282	295
489	283	294
490	283	294
491	284	293
492	284	292
493	285	292
494	286	291
495	286	291
496	287	290
497	287	290
498	288	289
499	289	289
500	290	289
501	291	288
502	291	288
503	292	287
504	293	287
505	293	286
506	294	286
507	295	285
508	295	285
509	296	284
510	297	284
511	297	283
512	298	283
513	299	282
514	299	282
515	300	281
516	301	281
517	301	280
518	302	280
519	303	279
520	303	279
521	304	279
522	305	278
523	306	278
524	306	277
525	307	277
526	308	276
527	308	276
528	309	275
529	310	274
530	310	274
531	311	274
532	312	273
533	313	273
534	313	272
535	314	272
536	315	271
537	315	271
538	316	270
539	317	270
540	318	269
541	318	269
542	319	268
543	320	268
544	321	267
545	321	267
546	322	266
547	322	266
548	323	265
549	324	265
550	324	264
551	325	264
552	326	263
553	326	263
554	327	262
555	328	261
556	328	261
557	329	260
558	329	260
559	330	259
560	331	259
561	331	258
562	332	258
563	333	257
564	333	257
565	334	256
566	335	255
567	335	255
568	336	254
569	337	254
570	337	253
571	338	253
572	339	252
573	339	252
574	340	251
575	340	251
576	341	250
577	342	249
578	342	249
579	343	248
580	344	248
581	344	247
582	345	247
583	346	246
584	346	246
585	347	245
586	348	244
587	348	244
588	349	244
589	350	243
590	351	242
591	351	242
592	352	241
593	353	241
594	353	240
595	354	240
596	355	239
597	355	239
598	356	238
599	357	238
600	357	237
601	358	236
602	359	236
603	359	235
604	360	235
605	360	234
606	361	234
607	362	233
608	362	232
609	363	232
610	363	231
611	364	231
612	365	230
613	365	230
614	366	229
615	367	228
616	367	228
617	368	227
618	368	227
619	369	226
620	369	225
621	370	225
622	371	224
623	371	223
624	372	223
625	372	222
626	373	222
627	374	221
628	374	221
629	375	220
630	376	219
631	376	219
632	377	218
633	377	218
634	378	217
635	378	216
636	379	216
637	380	215
638	380	215
639	381	214
640	381	213
641	382	213
642	382	212
643	383	211
644	383	211
645	384	210
646	384	210
647	385	209
648	386	208
649	386	208
650	387	207
651	387	207
652	388	206
653	389	205
654	389	205
655	390	204
656	390	204
657	391	203
658	391	202
659	392	202
660	393	201
661	393	200
662	394	200
663	394	199
664	395	199
665	396	198
666	396	198
667	397	197
668	397	196
669	398	196
670	399	195
671	399	195
672	400	194
673	400	193
674	401	193
675	401	192
676	402	192
677	403	191
678	403	190
679	404	190
680	404	189
681	405	188
682	405	188
683	406	187
684	407	187
685	407	186
686	408	186
687	408	185
688	409	184
689	410	184
690	410	183
691	411	183
692	411	182
693	412	181
694	413	181
695	413	180
696	414	180
697	414	179
698	415	178
699	416	178
700	416	177
701	417	177
702	418	176
703	418	175
704	419	175
705	419	174
706	420	174
707	420	173
708	421	172
709	422	172
710	422	171
711	423	171
712	423	170
713	424	169
714	424	169
715	425	168
716	426	168
717	426	167
718	427	166
719	427	166
720	428	165
721	428	165
722	429	164
723	430	163
724	430	163
725	431	162
726	431	162
727	432	161
728	432	160
729	433	160
730	433	159
731	434	159
732	434	158
733	435	157
734	436	157
735	436	156
736	437	156
737	438	155
738	438	154
739	439	154
740	439	153
741	440	153
742	440	152
743	441	151
744	442	151
745	443	150
746	443	150
747	444	149
748	445	149
749	445	148
750	446	147
751	446	147
752	447	146
753	447	146
754	448	145
755	449	145
756	449	144
757	450	143
758	451	143
759	451	142
760	452	142
761	452	141
762	453	140
763	454	140
764	454	139
765	455	139
766	456	138
767	456	137
768	457	137
769	457	136
770	458	136
771	458	135
772	459	134
773	460	134
774	460	133
775	461	133
776	462	132
777	462	132
778	463	131
779	463	130
780	464	130
781	465	129
782	465	129
783	466	128
784	466	127
785	467	127
786	468	126
787	468	126
788	469	125
789	470	125
790	471	124
791	471	123
792	472	123
793	472	122
794	473	122
795	474	121
796	474	120
797	475	120
798	475	119
799	476	119
800	477	118
801	478	118
802	478	117
803	479	116
804	480	116
805	480	115
806	481	115
807	482	114
808	482	113
809	483	113
810	484	112
811	485	112
812	486	111
813	486	111
814	487	110
815	487	110
816	488	109
817	489	108
818	489	108
819	490	107
820	491	107
821	491	106
822	492	105
823	492	105
824	493	104
825	494	104
826	494	103
827	495	102
828	496	102
829	496	101
830	497	101
831	498	100
832	499	100
833	499	99
834	500	98
835	500	98
836	501	97
837	501	97
838	502	96
839	503	95
840	503	95
841	504	94
842	505	94
843	505	93
844	506	92
845	507	92
846	507	91
847	508	91
848	508	90
849	509	89
850	510	89
851	510	88
852	511	88
853	511	87
854	512	86
855	513	86
856	513	85
857	514	85
858	515	84
859	515	83
860	516	83
861	517	82
862	517	82
863	518	81
864	519	81
865	519	80
866	520	79
867	520	79
868	521	78
869	521	77
870	522	77
871	523	76
872	523	76
873	524	75
874	524	74
875	525	74
876	526	73
877	526	73
878	527	72
879	527	71
880	528	71
881	529	70
882	529	70
883	530	69
884	530	68
885	531	68
886	532	67
887	533	67
888	533	66
889	534	66
890	535	65
891	536	64
892	536	64
893	537	63
894	538	63
895	538	62
896	539	61
897	539	61
898	540	60
899	541	60
900	541	59
901	542	58
902	543	58
903	543	57
904	544	57
905	545	56
906	545	55
907	546	55
908	546	54
909	547	54
910	548	53
911	549	52
912	549	52
913	550	51
914	551	51
915	551	50
916	552	49
917	552	49
918	553	48
919	554	48
920	554	47
921	555	47
922	556	46
923	556	45
924	557	45
925	557	44
926	558	44
927	559	43
928	560	42
929	560	42
930	561	41
931	561	40
932	562	40
933	562	39
934	563	39
935	564	38
936	564	37
937	565	37
938	565	36
939	566	36
940	566	35
941	567	34
942	567	34
943	568	33
944	569	33
945	569	32
946	570	31
947	570	31
948	571	30
949	571	30
950	572	29
951	572	28
952	573	28
953	574	27
954	574	27
955	575	26
956	575	25
957	576	25
958	576	24
959	577	24
960	577	23
961	578	22
962	578	22
963	579	21
964	580	21
965	580	20
966	581	19
967	581	19
968	582	18
969	582	18
970	583	17
971	583	16
972	584	16
973	585	15
974	585	15
975	586	14
976	586	13
977	587	13
978	587	12
979	588	12
980	588	11
981	589	10
982	589	10
983	590	9
984	591	9
985	591	8
986	592	7
987	592	7
988	593	6
989	593	5
990	594	5
991	595	4
992	595	4
993	596	3
994	596	2
995	597	2
996	598	1
997	598	1
998	598	0
999	599	0
